"Country","SDG.target","Indc.text","Status","Sector","Climate.response"
"Angola","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Angola’s climate diversity allows for the cultivation of a great variety of crops. The national agricultural potential of Angola is high enough that the country has the ability to be self-sufficient. Nevertheless, the sector is characterized mostly by small farmers working under subsistence farming methods. The surface area used for agriculture amounts to about 26% of the territory. GHG emissions in agriculture stem from animal production and wild fires. The objective is to stabilize GHG emissions from these sources. Besides, the country is willing to develop the production of ethanol as an alternative to fossil fuels.","Future","Agriculture","Mitigation"
"Angola","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Diversify crops to less climate sensitive cultures","Future","Agriculture","Adaptation"
"Angola","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Promote SLM for increased agricultural yields","Future","Agriculture","Adaptation"
"Angola","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Study the implication of climate change on disease patterns for humans and livestock","Future","Agriculture","Adaptation"
"Antigua and Barbuda","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","By 2030, 100% of electricity demand in the water sector and other essential services (including health, food storage and emergency services) will be met through off-grid renewable sources","Future","Agriculture","Adaptation"
"Argentina","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","In that regard, the projects are linked: in the Northeast of Argentina, with the adaptation and resilience of family agriculture to climate change impacts and its variability","Existing","Agriculture","Adaptation"
"Azerbaijan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","improve the management of pastures and agricultural lands.","Future","Agriculture","Mitigation"
"Azerbaijan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Collect methane gas from manure of livestock and poultry","Future","Agriculture","Mitigation"
"Bahamas","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Formulate and implement strategies and measures that will help to enhance food security and sustainable food production","Future","Agriculture","Adaptation"
"Bangladesh","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Increase the share of organic manure in the used fertilizer mix","Future","Agriculture","Mitigation"
"Bangladesh","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","<td>Lower emissions from agricultural land</td>","Future","Agriculture","Mitigation"
"Bangladesh","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Increase mechanisation in agriculture leading to a reduction in numbers of draft cattle (and therefore lower methane emissions)","Future","Agriculture","Mitigation"
"Bangladesh","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Scale up rice cultivation using alternate wetting and drying irrigation","Future","Agriculture","Adaptation"
"Bangladesh","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Stress tolerant (salinity, drought and flood) variety improvement and cultivation (including livestock and fisheries)","Future","Agriculture","Adaptation"
"Belize","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","to address critical gaps in technological developments relevant to crop production, better soil management practices, diversification into drought resistant crops and livestock, and farm production adaptations which include, but is not limited to, land use, land topography and water management including use of low-water irrigation systems and water harvesting/storage","Future","Agriculture","Adaptation"
"Belize","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","adopt better soil and water management practices","Future","Agriculture","Adaptation"
"Belize","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","increase access to drought tolerant crops and livestock breeds","Future","Agriculture","Adaptation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Development and irrigation of 52,000 ha of rice plots with water control.","Future","Agriculture","Mitigation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Ensure the diversification and promotion of high value-added agricultural value chains, as well as the modernization of resilient agricultural infrastructure in the context of climate change;","Future","Agriculture","Adaptation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Promote appropriate resilient and climate-resilient agricultural production systems for food and nutrition security (Climate Smart Agriculture);","Future","Agriculture","Adaptation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Improve the performance of Beninese agriculture, to enable it to ensure sustainable food and nutritional sovereignty, to contribute to the economic and social development of Benin's men and women and the achievement of the Sustainable Development Goals (SDGs) including SDGs 1, 2, 12, and 13.","Future","Agriculture","Adaptation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Strengthen the availability of water in deprived areas to adapt populations to climate change;","Future","Agriculture","Adaptation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Promote the water economy in the various uses.","Future","Agriculture","Adaptation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Rehabilitation of hydro-agricultural development (i) 1,000 ha of irrigated perimeter development with total water control, (ii) 3,500 ha of lowlands including about 2,800 ha of flood plain floodplain and 700 ha of lowland - rice fields made to the company, (iii) 300 ha of vegetable gardens for women","Future","Agriculture","Mitigation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Realization of hydro-agricultural development: rehabilitation of seven agro-pastoral dams (600 000 m3) and development of 1927 ha of irrigated perimeters.","Future","Agriculture","Mitigation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Development of agricultural value chains and resilience (improvement of farm productivity and technological innovations, capacity building of stakeholders, development of agricultural value chains).","Future","Agriculture","Mitigation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Improvement of productivity and production (development of resilient market gardening perimeters on 2100 ha, access to improved technologies and techniques).","Future","Agriculture","Mitigation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Realization of hydro-agricultural development: development of 1000 ha of lowlands and 300 ha of small irrigated perimeters, rehabilitation of 200 ha of degraded agricultural land, construction of four (04) reservoirs.","Future","Agriculture","Mitigation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Agricultural innovations for resilience to and mitigation of climate change (promotion of climate-smart agriculture), extension and support to implementation of GHG-limiting production systems);","Future","Agriculture","Mitigation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Acquisition of adapted irrigation systems","Future","Agriculture","Mitigation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Development of agricultural and pastoral systems (construction of five (05) multi-purpose dams with development of 500 ha of irrigated perimeter downstream, rehabilitation of seven (07) hydro-agricultural dams, development 200 ha of lowlands with partial control of water, development of 500 ha of reclamation perimeters, realization of four (04) thresholds for spreading flood waters for flood recession areas).","Future","Agriculture","Mitigation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Popularization and support for the implementation of production systems limiting GHG emissions","Future","Agriculture","Mitigation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Popularizing Agricultural Innovations for Climate Change Resilience and Mitigation (Promoting AIC)","Future","Agriculture","Mitigation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Promote hydro-agricultural developments.","Future","Agriculture","Mitigation"
"Benin","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Development of 96,500 ha of agricultural land and construction of 180 water reservoirs.","Future","Agriculture","Mitigation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Developing and introducing climate resilient crop varieties and conservation of plant genetic resources","Future","Agriculture","Adaptation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Agro‐forestry or agro‐silvo pastoral systems for fodder production","Future","Agriculture","Mitigation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Assessment and management of risk and damage from windstorms on agricultural crops and human settlements.","Future","Agriculture","Adaptation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Climate change resilient farm designs and practices","Future","Agriculture","Adaptation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Developing and institutionalising surveillance of crop pests and diseases","Future","Agriculture","Adaptation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Development and promotion of sustainable agricultural practices","Future","Agriculture","Mitigation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Enhancement of national capacity to develop and implement emergency response to agricultural pest and disease outbreaks/epidemics","Future","Agriculture","Adaptation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Establishment of cold storage facilities at sub‐national regions","Future","Agriculture","Adaptation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Improvement of livestock breeds, including conservation of native genetic gene pool/diversity","Future","Agriculture","Mitigation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Improving and increasing investment in irrigation systems and management","Future","Agriculture","Adaptation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Initiating crop insurance programs against climate induced extremes","Future","Agriculture","Adaptation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Integration of sustainable soil and land management technologies and approaches","Future","Agriculture","Mitigation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Livestock insurance against climate induced extremes","Future","Agriculture","Adaptation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Organic farming and conservation agriculture","Future","Agriculture","Mitigation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Organic livestock farming and eco‐friendly farm designs","Future","Agriculture","Mitigation"
"Bhutan","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Promotion of sustainable soil and land management technologies and approaches","Future","Agriculture","Adaptation"
"Botswana","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Improve livestock diet through supplementary feeding","Existing","Agriculture","Adaptation"
"Botswana","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","<li>A switch to crops with the following traits:","Existing","Agriculture","Adaptation"
"Botswana","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Botswana is developing a National Adaptation Plan (NAP) and Action Plan which will highlight all the priority areas including Climate Smart Agriculture which include techniques such as low to zero tillage, multi-cropping to increase mulching which reduce evapotranspiration and soil erosion.","Existing","Agriculture","Adaptation"
"Botswana","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Improve genetic characteristics of the livestock breed such as Musi breed","Existing","Agriculture","Adaptation"
"Brazil","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","in the agriculture sector, strengthen the Low Carbon Emission Agriculture Program (ABC) as the main strategy for sustainable agriculture development, including by restoring an additional 15 million hectares of degraded pasturelands by 2030 and enhancing 5 million hectares of integrated cropland-livestock-forestry systems (ICLFS) by 2030;","Future","Agriculture","Mitigation"
"Brunei","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Further work will be carried out to assess the health impacts of climate change on Brunei Darussalam, as well as impacts on agriculture and fisheries.","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","105,000 ha of CES development each year for the restoration or maintenance of crop land fertility","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","75,000 ha of degraded land are rehabilitated each year for forestry and pastoral uses","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Compost from the biodigesters is used to fertilise 750,000 ha of cultivable land (one biodigester makes it possible to fertilise 10 to 12 ha)","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Creation and sustained management of 5 animal production intensification zones (APIZ) in five regions of the country","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Cultivation of early or drought-resistant varieties","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Delimitation and development of grazing zones","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Development of 15,000 ha of shallows and irrigated areas and their exploitation for the intensive rice cultivation system","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Development of grazing water sources and points","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Implementation of water-efficient irrigation techniques","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Practice of integrated soil fertility management","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Improvement of food processing and preservation methods","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","<td>Creation of 150 agricultural production intensification units from high- flow boreholes using innovative irrigation techniques (pressurised drip irrigation)</td>","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","<td>Distribution of 15,000 drip irrigation kits in order to irrigate 3,750 ha with surface water for the production of high- value crops (such as tomatoes and potatoes).</td>","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","1,000 drip irrigation kits are distributed each year to irrigate 250 ha of high-value crops (in this case onions)","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","1,000 ha per year of bottom lands are developed and enhanced, associated with the system of rice intensification (SRI)","Future","Agriculture","Adaptation"
"Burkina Faso","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","10,000 ha of micro watersheds (half moons) each year for the restoration of crop land fertility","Future","Agriculture","Adaptation"
