Id,Iso code3,Country,SDG,SDG target,Indc text,Status,Sector,Climate response,Type of information
327655,AGO,Angola,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Angola’s climate diversity allows for the cultivation of a great variety of crops. The national agricultural potential of Angola is high enough that the country has the ability to be self-sufficient. Nevertheless, the sector is characterized mostly by small farmers working under subsistence farming methods. The surface area used for agriculture amounts to about 26% of the territory. GHG emissions in agriculture stem from animal production and wild fires. The objective is to stabilize GHG emissions from these sources. Besides, the country is willing to develop the production of ethanol as an alternative to fossil fuels.",Future,Agriculture,Mitigation,Action
327662,AGO,Angola,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Diversify crops to less climate sensitive cultures,Future,Agriculture,Adaptation,Action
327680,AGO,Angola,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Promote SLM for increased agricultural yields,Future,Agriculture,Adaptation,Action
327692,AGO,Angola,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Study the implication of climate change on disease patterns for humans and livestock,Future,Agriculture,Adaptation,Action
327732,ATG,Antigua and Barbuda,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","By 2030, 100% of electricity demand in the water sector and other essential services (including health, food storage and emergency services) will be met through off-grid renewable sources",Future,Agriculture,Adaptation,Action
327759,ARG,Argentina,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","In that regard, the projects are linked: in the Northeast of Argentina, with the adaptation and resilience of family agriculture to climate change impacts and its variability",Existing,Agriculture,Adaptation,Action
327803,AZE,Azerbaijan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",improve the management of pastures and agricultural lands.,Future,Agriculture,Mitigation,Action
327790,AZE,Azerbaijan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Collect methane gas from manure of livestock and poultry,Future,Agriculture,Mitigation,Action
327833,BHS,Bahamas,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Formulate and implement strategies and measures that will help to enhance food security and sustainable food production,Future,Agriculture,Adaptation,Action
327964,BGD,Bangladesh,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Increase the share of organic manure in the used fertilizer mix,Future,Agriculture,Mitigation,Action
327898,BGD,Bangladesh,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",<td>Lower emissions from agricultural land</td>,Future,Agriculture,Mitigation,Action
327963,BGD,Bangladesh,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Increase mechanisation in agriculture leading to a reduction in numbers of draft cattle (and therefore lower methane emissions),Future,Agriculture,Mitigation,Action
327988,BGD,Bangladesh,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Scale up rice cultivation using alternate wetting and drying irrigation,Future,Agriculture,Adaptation,Action
327989,BGD,Bangladesh,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Stress tolerant (salinity, drought and flood) variety improvement and cultivation (including livestock and fisheries)",Future,Agriculture,Adaptation,Action
328170,BLZ,Belize,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","to address critical gaps in technological developments relevant to crop production, better soil management practices, diversification into drought resistant crops and livestock, and farm production adaptations which include, but is not limited to, land use, land topography and water management including use of low-water irrigation systems and water harvesting/storage",Future,Agriculture,Adaptation,Action
328066,BLZ,Belize,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",adopt better soil and water management practices,Future,Agriculture,Adaptation,Action
328104,BLZ,Belize,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",increase access to drought tolerant crops and livestock breeds,Future,Agriculture,Adaptation,Action
328204,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Development and irrigation of 52,000 ha of rice plots with water control.",Future,Agriculture,Mitigation,Action
328205,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Ensure the diversification and promotion of high value-added agricultural value chains, as well as the modernization of resilient agricultural infrastructure in the context of climate change;",Future,Agriculture,Adaptation,Action
328206,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Promote appropriate resilient and climate-resilient agricultural production systems for food and nutrition security (Climate Smart Agriculture);,Future,Agriculture,Adaptation,Action
328207,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Improve the performance of Beninese agriculture, to enable it to ensure sustainable food and nutritional sovereignty, to contribute to the economic and social development of Benin's men and women and the achievement of the Sustainable Development Goals (SDGs) including SDGs 1, 2, 12, and 13.",Future,Agriculture,Adaptation,Action
328208,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Strengthen the availability of water in deprived areas to adapt populations to climate change;,Future,Agriculture,Adaptation,Action
328210,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Promote the water economy in the various uses.,Future,Agriculture,Adaptation,Action
328213,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Rehabilitation of hydro-agricultural development (i) 1,000 ha of irrigated perimeter development with total water control, (ii) 3,500 ha of lowlands including about 2,800 ha of flood plain floodplain and 700 ha of lowland - rice fields made to the company, (iii) 300 ha of vegetable gardens for women",Future,Agriculture,Mitigation,Action
328214,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Realization of hydro-agricultural development: rehabilitation of seven agro-pastoral dams (600 000 m3) and development of 1927 ha of irrigated perimeters.,Future,Agriculture,Mitigation,Action
328215,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Development of agricultural value chains and resilience (improvement of farm productivity and technological innovations, capacity building of stakeholders, development of agricultural value chains).",Future,Agriculture,Mitigation,Action
328216,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Improvement of productivity and production (development of resilient market gardening perimeters on 2100 ha, access to improved technologies and techniques).",Future,Agriculture,Mitigation,Action
328217,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Realization of hydro-agricultural development: development of 1000 ha of lowlands and 300 ha of small irrigated perimeters, rehabilitation of 200 ha of degraded agricultural land, construction of four (04) reservoirs.",Future,Agriculture,Mitigation,Action
328218,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Agricultural innovations for resilience to and mitigation of climate change (promotion of climate-smart agriculture), extension and support to implementation of GHG-limiting production systems);",Future,Agriculture,Mitigation,Action
328222,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Acquisition of adapted irrigation systems,Future,Agriculture,Mitigation,Action
328225,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Development of agricultural and pastoral systems (construction of five (05) multi-purpose dams with development of 500 ha of irrigated perimeter downstream, rehabilitation of seven (07) hydro-agricultural dams, development 200 ha of lowlands with partial control of water, development of 500 ha of reclamation perimeters, realization of four (04) thresholds for spreading flood waters for flood recession areas).",Future,Agriculture,Mitigation,Action
328224,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Popularization and support for the implementation of production systems limiting GHG emissions,Future,Agriculture,Mitigation,Action
328223,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Popularizing Agricultural Innovations for Climate Change Resilience and Mitigation (Promoting AIC),Future,Agriculture,Mitigation,Action
328202,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Promote hydro-agricultural developments.,Future,Agriculture,Mitigation,Action
328203,BEN,Benin,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Development of 96,500 ha of agricultural land and construction of 180 water reservoirs.",Future,Agriculture,Mitigation,Action
328428,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Developing and introducing climate resilient crop varieties and conservation of plant genetic resources,Future,Agriculture,Adaptation,Action
328416,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Agro‐forestry or agro‐silvo pastoral systems for fodder production,Future,Agriculture,Mitigation,Action
328419,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Assessment and management of risk and damage from windstorms on agricultural crops and human settlements.,Future,Agriculture,Adaptation,Action
328422,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Climate change resilient farm designs and practices,Future,Agriculture,Adaptation,Action
328427,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Developing and institutionalising surveillance of crop pests and diseases,Future,Agriculture,Adaptation,Action
328429,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Development and promotion of sustainable agricultural practices,Future,Agriculture,Mitigation,Action
328442,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Enhancement of national capacity to develop and implement emergency response to agricultural pest and disease outbreaks/epidemics,Future,Agriculture,Adaptation,Action
328447,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Establishment of cold storage facilities at sub‐national regions,Future,Agriculture,Adaptation,Action
328452,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Improvement of livestock breeds, including conservation of native genetic gene pool/diversity",Future,Agriculture,Mitigation,Action
328457,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Improving and increasing investment in irrigation systems and management,Future,Agriculture,Adaptation,Action
328465,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Initiating crop insurance programs against climate induced extremes,Future,Agriculture,Adaptation,Action
328471,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Integration of sustainable soil and land management technologies and approaches,Future,Agriculture,Mitigation,Action
328473,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Livestock insurance against climate induced extremes,Future,Agriculture,Adaptation,Action
328474,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Organic farming and conservation agriculture,Future,Agriculture,Mitigation,Action
328475,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Organic livestock farming and eco‐friendly farm designs,Future,Agriculture,Mitigation,Action
328482,BTN,Bhutan,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Promotion of sustainable soil and land management technologies and approaches,Future,Agriculture,Adaptation,Action
328613,BWA,Botswana,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Improve livestock diet through supplementary feeding,Existing,Agriculture,Adaptation,Action
328599,BWA,Botswana,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",<li>A switch to crops with the following traits:,Existing,Agriculture,Adaptation,Action
328606,BWA,Botswana,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","Botswana is developing a National Adaptation Plan (NAP) and Action Plan which will highlight all the priority areas including Climate Smart Agriculture which include techniques such as low to zero tillage, multi-cropping to increase mulching which reduce evapotranspiration and soil erosion.",Existing,Agriculture,Adaptation,Action
328612,BWA,Botswana,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Improve genetic characteristics of the livestock breed such as Musi breed,Existing,Agriculture,Adaptation,Action
328624,BRA,Brazil,"2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","2.4. By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality","in the agriculture sector, strengthen the Low Carbon Emission Agriculture Program (ABC) as the main strategy for sustainable agriculture development, including by restoring an additional 15 million hectares of degraded pasturelands by 2030 and enhancing 5 million hectares of integrated cropland-livestock-forestry systems (ICLFS) by 2030;",Future,Agriculture,Mitigation,action
